Obs,Disease,Product
Gene_Product_Malfunction_Associated_With_Disease,Alzheimer's Disease,Amyloid Beta A4 Protein
Gene_Product_Malfunction_Associated_With_Disease,Alzheimer's Disease,Caspase-3
Gene_Product_Malfunction_Associated_With_Disease,Alzheimer's Disease,Clusterin
Gene_Product_Malfunction_Associated_With_Disease,Alzheimer's Disease,Metallothionein-3
Gene_Product_Malfunction_Associated_With_Disease,Alzheimer's Disease,Microtubule-Associated Protein Tau
Gene_Product_Malfunction_Associated_With_Disease,Alzheimer's Disease,Phosphatidylinositol-Binding Clathrin Assembly Protein
Gene_Product_Malfunction_Associated_With_Disease,Alzheimer's Disease,Presenilin-1
Gene_Product_Malfunction_Associated_With_Disease,Alzheimer's Disease,Presenilin-2
Gene_Product_Malfunction_Associated_With_Disease,Alzheimer's Disease,Zinc Finger FYVE Domain-Containing Protein 9
